"Ticker","Nome","Negócios","Última (R$)","Variação"
"CTKA4","Karsten","100","33,65","+0,45%"
"MRSA3B","MRS Logística","100","28,15","-8,75%"
"ADMF3","REAG TRUST S.A","100","20,00","+5,26%"
"HOOT4","Hotéis Othon","100","4,99","+1,84%"
"BIOM11","Biomm","100","3,00","+0,00%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","100","2,12","-0,47%"
"OSXB3","OSX Brasil","100","2,09","-2,79%"
"AMAR11","Lojas Marisa","100","0,12","+0,00%"
"DOHL4","Döhler","14.000","3,77","-2,84%"
"EALT3","Electro Aço Altona","1.800","13,10","+5,73%"
"BAUH4","Excelsior","1.600","86,94","+0,01%"
"DEXP4","Dexxos","400","8,09","+1,25%"
"CGRA3","Grazziotin","300","30,61","-0,49%"
"IGTI4","Iguatemi","300","11,12","+2,87%"
"IGTI4","Jereissati Participações","300","11,12","+2,87%"
"UNIP5","Unipar","200","69,09","-5,36%"
"ENMT3","Energisa MT","200","59,90","+2,31%"
"SOND3","Sondotécnica","100","48,00","-0,02%"
"CRPG6","Tronox Pigmentos","100","21,00","+5,00%"
"CEDO3","Cedro Têxtil","100","13,50","+0,00%"
"BDLL4","Bardella","100","7,00","+8,53%"
"EQPA6","Equatorial Energia Pará","100","6,59","-7,18%"
"RVEE3","REVEE","3.700","3,51","-4,62%"
"RVEE3","REVEE S.A.","3.700","3,51","-4,62%"
"ESTR4","Estrela","1.100","5,99","+0,34%"
"BALM4","Baumer","500","18,78","+0,00%"
"BMIN4","Banco Mercantil de Investimentos","500","17,08","-1,84%"
"COCE3","Coelce","200","32,00","+0,00%"
"CTKA3","Karsten","100","35,90","-0,28%"
"GEPA3","Rio Paranapanema Energia","100","34,00","+0,00%"
"JOPA3","Josapar","100","20,11","+0,00%"
"MWET3","Wetzel","100","16,00","+0,00%"
"RPAD3","Alfa Holdings","100","4,93","+0,20%"
"SNSY5","Sansuy","2.500","3,14","+4,32%"
"EUCA3","Eucatex","400","18,71","+0,59%"
"CLSC3","Celesc","300","100,00","+7,52%"
"AHEB3","São Paulo Turismo","200","27,50","+1,85%"
"WLMM3","WLM","200","22,00","+8,64%"
"CEEB5","COELBA","100","42,81","-0,44%"
"BALM3","Baumer","100","20,90","+0,00%"
"BRKM6","Braskem","100","6,50","+0,00%"
"CTSA3","Santanense","100","2,59","+0,00%"
"EMBR3","Embraer","3.652.100","86,99","-1,02%"
"NORD3","Nordon","1.900","5,15","+13,19%"
"CCTY3","REDVECO PROPERTIES S.A","100","21,25","-14,93%"
"CCTY3","RDVC CITY","100","21,25","-14,93%"
"PINE11","Banco Pine","100","13,44","-4,00%"
"DTCY3","Dtcom","100","2,75","+1,85%"
"AFLT3","Afluente T","300","7,22","-1,77%"
"ENMT4","Energisa MT","100","55,99","+1,80%"
"EKTR3","Elektro","300","40,18","-0,50%"
"CBEE3","Ampla Energia","300","9,01","-2,17%"
"MRSA5B","MRS Logística","100","23,50","-4,08%"
"MERC4","Mercantil do Brasil Financeira","600","12,50","-0,71%"
"CEED3","CEEE D","200","8,95","-0,56%"
"ESTR3","Estrela","100","5,00","-1,96%"
"PATI4","Panatlântica","200","37,50","-3,60%"
